t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
58453,1,73.0,120.9,247.0
58454,3,25.666666666666668,51.54666666666666,154.66666666666666
58455,1,46.0,73.55,272.0
58456,4,50.25,98.87,256.75
58457,3,92.33333333333333,142.83666666666667,292.0
58458,1,73.0,106.99,239.0
58459,4,66.5,107.815,254.75
58460,1,27.0,45.01,183.0
58461,3,67.0,123.27666666666669,274.6666666666667
58462,2,77.5,138.0,280.0
58464,1,20.0,42.97,164.0
58465,1,123.0,204.36,380.0
58466,3,15.666666666666666,30.25,84.66666666666667
58470,1,179.0,221.55,400.0
58472,1,159.0,212.26,406.0
58477,1,49.0,85.09,202.0
58478,1,110.0,148.39,194.0
58481,2,134.5,200.685,377.5
58483,2,72.5,142.655,320.0
58484,1,71.0,116.9,198.0
58485,1,118.0,210.11,394.0
58486,1,103.0,174.31,303.0
58487,1,0.0,18.09,99.0
58489,2,260.5,328.49,475.5
58491,1,83.0,145.45,298.0
58492,3,49.0,88.81666666666666,198.66666666666666
58493,1,438.0,522.06,710.0
58494,2,36.5,59.125,135.5
58497,1,58.0,114.6,285.0
58498,1,63.0,93.35,227.0
58499,1,148.0,218.24,386.0
58500,1,56.0,122.35,291.0
58503,2,3.5,34.3,179.0
58505,1,1.0,22.88,155.0
58507,1,128.0,209.37,425.0
58509,2,89.0,157.115,339.0
58510,1,29.0,44.54,104.0
58512,1,26.0,38.89,103.0
58514,1,30.0,50.75,134.0
58515,1,108.0,155.84,310.0
58516,2,4.5,23.825,103.0
58517,2,32.5,61.114999999999995,174.5
58518,2,162.5,207.275,350.0
58520,1,0.0,6.17,60.0
58521,1,338.0,415.01,544.0
58522,2,76.0,119.5,299.0
58523,1,0.0,26.22,141.0
58525,2,229.5,288.88,490.5
58526,1,409.0,515.65,668.0
58527,2,84.5,113.53,282.5
58528,2,216.5,285.545,451.0
58530,2,58.0,93.06,296.0
58532,1,128.0,214.15,444.0
58533,1,0.0,17.19,81.0
58535,1,9.0,29.53,102.0
58536,4,89.5,127.535,321.25
58537,3,79.0,138.20000000000002,316.3333333333333
58538,1,20.0,39.47,202.0
58539,2,80.5,120.61999999999999,306.5
58541,2,89.0,145.965,324.0
58542,3,82.33333333333333,110.68666666666667,275.3333333333333
58543,3,64.0,126.60666666666667,308.6666666666667
58544,3,81.33333333333333,144.09333333333333,297.0
58546,2,56.0,114.58,267.5
58547,1,90.0,115.35,271.0
58548,1,10.0,42.09,274.0
58549,1,42.0,71.17,253.0
58550,2,56.5,86.195,254.5
58552,3,22.333333333333332,43.593333333333334,153.33333333333334
58553,2,110.0,160.76,323.0
58558,1,78.0,141.33,240.0
58559,1,76.0,110.25,282.0
58560,2,51.5,67.22,144.0
58561,2,67.0,105.17999999999999,303.5
58563,2,299.5,373.94,506.5
58564,1,49.0,79.67,216.0
58565,3,234.0,293.2233333333333,410.3333333333333
58566,1,53.0,87.52,275.0
58567,1,129.0,249.89,398.0
58568,1,147.0,218.5,350.0
58569,1,80.0,140.39,266.0
58570,1,141.0,209.41,346.0
58571,2,54.5,80.485,178.0
58572,1,0.0,13.09,161.0
58573,1,62.0,130.32,333.0
58574,1,60.0,144.37,326.0
58575,1,127.0,188.69,348.0
58576,1,48.0,82.95,199.0
58577,1,106.0,168.75,309.0
58578,1,67.0,115.78,312.0
58579,3,32.333333333333336,66.94333333333333,192.66666666666666
58580,1,101.0,136.05,250.0
58582,1,47.0,98.6,258.0
58584,1,25.0,56.17,102.0
58585,1,79.0,101.3,227.0
58586,1,35.0,52.77,158.0
58591,1,160.0,213.65,431.0
58592,2,35.0,80.895,234.5
58594,1,0.0,27.14,191.0
58597,1,126.0,229.16,434.0
58598,2,107.0,176.785,335.5
58599,1,13.0,53.67,219.0
58600,1,131.0,191.86,365.0
58601,4,25.5,45.212500000000006,176.75
58602,3,32.333333333333336,65.05333333333333,166.66666666666666
58603,2,69.0,89.74,162.0
58604,1,71.0,91.41,140.0
58605,2,31.5,60.765,172.5
58606,1,50.0,64.8,140.0
58607,2,89.5,121.19,225.5
58608,1,51.0,89.15,175.0
58609,2,206.5,270.84499999999997,470.0
58610,2,61.0,92.37,227.5
58611,2,56.0,81.59,158.5
58612,1,92.0,154.31,285.0
58614,3,58.333333333333336,93.74666666666667,247.33333333333334
58616,2,37.0,73.185,260.5
58618,2,45.5,101.02,231.0
58619,2,64.0,111.68,254.0
58620,1,44.0,79.43,230.0
58621,1,24.0,67.44,210.0
58622,2,65.5,110.34,267.5
58625,1,137.0,192.65,363.0
58627,3,78.33333333333333,107.99000000000001,247.33333333333334
58628,2,43.5,69.345,168.5
58629,2,72.0,94.625,224.5
58630,3,58.333333333333336,87.74333333333334,187.66666666666666
58632,3,50.333333333333336,75.64,210.33333333333334
